特征名称,重要性
RealPower_-1q,347.0
dayofyear,101.0
hour,95.0
RealPower_-3q,52.0
year,41.0
RealPower_-2q,35.0
RealPower_-24q,26.0
RealPower_-4q,24.0
RealPower_-5q,20.0
RealPower_-8q,20.0
clouds_all,18.0
RealPower_-6q,17.0
temp_min,14.0
RealPower_-7q,13.0
RealPower_-10q,13.0
RealPower_-19q,13.0
RealPower_-22q,13.0
temp_-12h,13.0
RealPower_-15q,12.0
RealPower_-23q,12.0
humidity,11.0
RealPower_-13q,10.0
RealPower_-18q,10.0
RealPower_-20q,10.0
RealPower_-12q,9.0
rain_1h_-1h,9.0
RealPower_-11q,8.0
RealPower_-17q,8.0
rain_1h,8.0
humidity_-2h,8.0
RealPower_-21q,7.0
month,7.0
feels_like,7.0
humidity_-3h,7.0
wind_deg_-2h,7.0
clouds_all_-1h,7.0
RealPower_-9q,6.0
RealPower_-14q,6.0
temp_max,6.0
feels_like_-12h,6.0
rain_1h_-3h,6.0
clouds_all_-2h,6.0
RealPower_-16q,5.0
dayofmonth,5.0
temp_-9h,5.0
temp_min_-1h,5.0
temp_min_-2h,5.0
wind_speed_-2h,5.0
clouds_all_-3h,5.0
wind_speed,4.0
wind_deg,4.0
temp_-11h,4.0
wind_deg_-3h,4.0
dayofweek,3.0
pressure,3.0
weather_main,3.0
temp_-7h,3.0
feels_like_-2h,3.0
feels_like_-4h,3.0
feels_like_-7h,3.0
feels_like_-10h,3.0
temp_min_-3h,3.0
pressure_-1h,3.0
humidity_-1h,3.0
wind_speed_-3h,3.0
quarter,2.0
temp_-1h,2.0
temp_-4h,2.0
temp_-5h,2.0
temp_-6h,2.0
temp_-8h,2.0
temp_-10h,2.0
feels_like_-5h,2.0
feels_like_-6h,2.0
feels_like_-8h,2.0
feels_like_-9h,2.0
feels_like_-11h,2.0
temp_max_-1h,2.0
wind_speed_-1h,2.0
wind_deg_-1h,2.0
rain_1h_-2h,2.0
rain_3h_-1h,2.0
temp_-2h,1.0
temp_-3h,1.0
feels_like_-3h,1.0
temp_max_-2h,1.0
pressure_-2h,1.0
pressure_-3h,1.0
rain_3h_-2h,1.0
